timestamp,productPower,usePower,selfUsePower,chargePower,dischargePower,ev_power,base_power,grid_tariff_CHF_kWh,integrated_tariff_CHF_kWh,dual_tariff_CHF_kWh
2026-01-01 00:00,0.000,0.439,0.000,0.000,0.00,0.000,0.439,0.1327,0.2522,0.1927
2026-01-01 00:05,0.000,0.541,0.000,0.000,0.00,0.000,0.541,0.1327,0.2522,0.1927
2026-01-01 00:10,0.000,2.065,0.000,0.000,0.00,0.000,2.065,0.1327,0.2522,0.1927
2026-01-01 00:15,0.000,2.983,0.000,0.000,0.00,0.000,2.983,0.1355,0.255,0.1927
2026-01-01 00:20,0.000,3.351,0.000,0.000,0.00,0.000,3.351,0.1355,0.255,0.1927
2026-01-01 00:25,0.000,1.551,0.000,0.000,0.00,0.000,1.551,0.1355,0.255,0.1927
2026-01-01 00:30,0.000,2.017,0.000,0.000,0.00,0.000,2.017,0.1321,0.2516,0.1927
2026-01-01 00:35,0.000,2.667,0.000,0.000,0.00,0.000,2.667,0.1321,0.2516,0.1927
2026-01-01 00:40,0.000,3.413,0.000,0.000,0.00,0.000,3.413,0.1321,0.2516,0.1927
2026-01-01 00:45,0.000,3.335,0.000,0.000,0.00,0.000,3.335,0.1284,0.2479,0.1927
2026-01-01 00:50,0.000,3.388,0.000,0.000,0.00,0.000,3.388,0.1284,0.2479,0.1927
2026-01-01 00:55,0.000,3.416,0.000,0.000,0.00,0.000,3.416,0.1284,0.2479,0.1927
2026-01-01 01:00,0.000,3.467,0.000,0.000,0.00,0.000,3.467,0.1442,0.2637,0.1927
2026-01-01 01:05,0.000,3.501,0.000,0.000,0.00,0.000,3.501,0.1442,0.2637,0.1927
2026-01-01 01:10,0.000,3.496,0.000,0.000,0.00,0.000,3.496,0.1442,0.2637,0.1927
2026-01-01 01:15,0.000,3.547,0.000,0.000,0.00,0.000,3.547,0.1404,0.2599,0.1927
2026-01-01 01:20,0.000,3.565,0.000,0.000,0.00,0.000,3.565,0.1404,0.2599,0.1927
2026-01-01 01:25,0.000,3.541,0.000,0.000,0.00,0.000,3.541,0.1404,0.2599,0.1927
2026-01-01 01:30,0.000,3.530,0.000,0.000,0.00,0.000,3.530,0.1314,0.2509,0.1927
2026-01-01 01:35,0.000,3.566,0.000,0.000,0.00,0.000,3.566,0.1314,0.2509,0.1927
2026-01-01 01:40,0.000,3.563,0.000,0.000,0.00,0.000,3.563,0.1314,0.2509,0.1927
2026-01-01 01:45,0.000,3.492,0.000,0.000,0.00,0.000,3.492,0.1212,0.2407,0.1927
2026-01-01 01:50,0.000,3.445,0.000,0.000,0.00,0.000,3.445,0.1212,0.2407,0.1927
2026-01-01 01:55,0.000,1.260,0.000,0.000,0.00,0.000,1.260,0.1212,0.2407,0.1927
2026-01-01 02:00,0.000,1.883,0.000,0.000,0.00,0.000,1.883,0.1107,0.2302,0.1927
2026-01-01 02:05,0.000,2.439,0.000,0.000,0.00,0.000,2.439,0.1107,0.2302,0.1927
2026-01-01 02:10,0.000,2.780,0.000,0.000,0.00,0.000,2.780,0.1107,0.2302,0.1927
2026-01-01 02:15,0.000,3.360,0.000,0.000,0.00,0.000,3.360,0.1034,0.2229,0.1927
2026-01-01 02:20,0.000,3.538,0.000,0.000,0.00,0.000,3.538,0.1034,0.2229,0.1927
2026-01-01 02:25,0.000,3.462,0.000,0.000,0.00,0.000,3.462,0.1034,0.2229,0.1927
2026-01-01 02:30,0.000,3.255,0.000,0.000,0.00,0.000,3.255,0.0963,0.2158,0.1927
2026-01-01 02:35,0.000,3.071,0.000,0.000,0.00,0.000,3.071,0.0963,0.2158,0.1927
2026-01-01 02:40,0.000,2.974,0.000,0.000,0.00,0.000,2.974,0.0963,0.2158,0.1927
2026-01-01 02:45,0.000,2.807,0.000,0.000,0.00,0.000,2.807,0.0907,0.2102,0.1927
2026-01-01 02:50,0.000,2.766,0.000,0.000,0.00,0.000,2.766,0.0907,0.2102,0.1927
2026-01-01 02:55,0.000,2.751,0.000,0.000,0.00,0.000,2.751,0.0907,0.2102,0.1927
2026-01-01 03:00,0.000,2.774,0.000,0.000,0.00,0.000,2.774,0.0876,0.2071,0.1927
2026-01-01 03:05,0.000,2.756,0.000,0.000,0.00,0.000,2.756,0.0876,0.2071,0.1927
2026-01-01 03:10,0.000,2.752,0.000,0.000,0.00,0.000,2.752,0.0876,0.2071,0.1927
